Name,Value,Reference
Electrode Area [m^2],0.047049792,Estimated from fitting experimental results
Electrode Thickness [m],1.36E-04,Estimated from fitting experimental results
Ionic Conductivity [S m^-1],3.8,Tran et al.
Volume Fraction,0.49,Randell et al.
Electroactive Area [m^2],1.636822155,Estimated from fitting experimental results
Max. Conc. [mol m^-3],51410,Guo et al.
Radius [m],5.75E-06,Guo et al.
Reference Rate Constant [m^2.5 mol^-0.5 s^-1],6.67E-11,Guo et al.
Reference Diffusitivity [m^2 s^-1],4.00E-15,Guo et al.
Activation Energy of Reaction [J mol^-1],5.16E+04,Estimated from fitting experimental results
Activation Energy of Diffusion [J mol^-1],2.54E+04,Estimated from fitting experimental results
Anodic Transfer Coefficient,5.00E-01,Guo et al.
Reference Temperature [K],298.15,Guo et al.
Bruggerman Coefficient,1.50E+00,
soc_min,0,Estimated from fitting experimental results
soc_max,1,Estimated from fitting experimental results
